source,score,review
The Line of Best Fit,80,"As well as sounding incredible as a whole (not all of Swift’s previous albums have hung together as well as this one) these songs also have the air of a victory lap about them, as though Taylor’s basking in the glow of this new cottagecore indie-pop hybrid she’s found(ed)."
musicOMH.com,80,"In all aspects has Swift built upon her work on Folklore, creating a vast soundscape of poetical stories, and it is only at the end of this album you realise that Folklore did leave you wanting. Evermore also does this, not because it doesn’t reach up to the pedestal of folklore – in contrast, it covers the more complex ground."
The Guardian,80,"Not everything here works, but taken together Folklore and Evermore make a convincing case for Swift’s ability to shift shape and for her songs’ ability to travel between genres: as lockdown overachievements go, it’s pretty impressive."
The Telegraph (UK),80,"As a direct follow up, Evermore may lack the impactful frisson of Folklore, but is nevertheless another treat of classy, emotional songcraft."
Pitchfork,79,"While folklore seemed to materialize from nowhere as a complete, cohesive vision, evermore is structurally akin to something like 2012’s Red, where the breadth of her songwriting is as important as the depth."
Paste Magazine,78,"Songs like “marjorie,” “happiness,” “closure” and “tolerate it,” all full of Swift’s hard-won wisdom, are the most representative of what evermore really is: a peacefully intimate record."
The Quietus,70,"While ‘no body, no crime’ is easily evermore’s biggest misstep, there are a handful of forgettable songs on here. ... evermore benefits throughout from a more forgiving production style, but the songs are slightly less good here: it doesn’t have a song as accomplished as ‘the last great american dynasty’, as revelatory as ‘peace’ or a crowning achievement like ‘exile.’ It is generally a joy to listen to, and it is a joy to see her so comfortable and so prolific."
Exclaim,70,"While retreading folklore's ground, evermore deepens and enriches its older sister's world."
The New York Times,70,"The sonic details of “Evermore” are radiant and meticulous; the songwriting is poised and careful. It’s an album to respect. But with all its constructions and conceits, it also keeps a certain emotional distance."
Beats Per Minute,69,"Not everything on evermore truly works or lands satisfyingly, but it’s all part of a creative process that is producing some of her best and most surprising work to date. And considering portions of the world are still dealing with lockdown and are isolating ahead of returning home for Christmas, it still certainly feels like the best “worst time” to be making music like this."
The Observer (UK),60,"Swift is a songwriter for the ages, “stronger than a 90s trend”, as she sings on Willow. But she’s still a little muted on Evermore as she was on Folklore by pastel music that smears Vaseline on her otherwise keen lens."
Los Angeles Times,60,"“Evermore,” in a first for Swift, simply repeats its predecessor’s trick, which means the new album’s tunes must stand on their own. And not all of them are up to the standard she set on “Folklore.” There are some incredible songs here. ... Yet too many of the remaining songs on “Evermore” feel like leftovers from “Folklore.” with recycled vocal cadences and melodic phrases or lyrical scenarios that seem unfinished. ... For most pop stars, that might be enough. Not for Swift."
Sputnikmusic,58,"For all the razzle-dazzle of its surprise release, I’m struck by hard it is to draw a lasting overall impression from the record. It adds little to the reinvention established by Folklore and doesn’t deepen her work within this sound in particularly convincing terms. I want to credit her at least for keeping up an industrious streak, but this alone would seem patronising."
